Ranking,County,Adherents,Percent
51,Monroe County,10357,1.39
130,Monroe County,373,0.22
126,Monterey County,1089,0.26
109,Montgomery County,996,0.43
18,Montgomery County,29851,3.07
133,Montgomery County,97,0.19
103,Montgomery County,2695,0.5
13,Montgomery County,34172,4.27
140,Montgomery County,533,0.12
153,Montgomery County,,
126,Moore County,227,0.26
153,Morgan County,,
43,Morris County,7917,1.61
74,Multnomah County,6290,0.86
128,Muscogee County,456,0.24
142,Muskegon County,165,0.1
153,Muskingum County,,
147,Muskogee County,38,0.05
153,Nantucket County,,
122,Napa County,413,0.3
149,Nash County,27,0.03
153,Nassau County,,
8,Nassau County,79749,5.95
153,Natrona County,,
153,Navarro County,,
127,Nevada County,246,0.25
86,New Castle County,3697,0.69
127,New Hanover County,511,0.25
57,New Haven County,10810,1.25
153,New Kent County,,
77,New London County,2207,0.81
7,New York County,99058,6.25
124,Newport County,229,0.28
128,Newport News city,427,0.24
153,Newton County,,
153,Newton County,,
153,Nez Perce County,,
145,Niagara County,160,0.07
41,Norfolk city,4238,1.75
21,Norfolk County,19709,2.94
107,Northampton County,1352,0.45
153,Northumberland County,,
138,Nueces County,483,0.14
153,Nye County,,
19,Oakland County,36167,3.01
4,Ocean County,52036,9.03
108,Ohio County,197,0.44
141,Okaloosa County,202,0.11
135,Oklahoma County,1252,0.17
153,Oldham County,,
125,Olmsted County,387,0.27
121,Oneida County,726,0.31
73,Onondaga County,4050,0.87
153,Onslow County,,
137,Ontario County,162,0.15
105,Orange County,14533,0.48
115,Orange County,4289,0.37
6,Orange County,24056,6.45
114,Orange County,505,0.38
153,Orange County,,
153,Orangeburg County,,
153,Orleans County,,
64,Orleans Parish,3530,1.03
153,Osage County,,
147,Osceola County,130,0.05
153,Oswego County,,
153,Otero County,,
117,Otsego County,219,0.35
153,Ottawa County,,
139,Ouachita Parish,200,0.13
144,Outagamie County,138,0.08
78,Ozaukee County,695,0.8
23,Palm Beach County,37081,2.81
153,Parker County,,
149,Pasco County,120,0.03
35,Passaic County,10025,2
153,Paulding County,,
153,Peach County,,
144,Pennington County,84,0.08
102,Penobscot County,782,0.51
131,Peoria County,400,0.21
153,Perry County,,
153,Petersburg city,,
153,Pettis County,,
63,Philadelphia County,16713,1.1
153,Phillips County,,
153,Pickaway County,,
153,Pickens County,,
142,Pierce County,792,0.1
153,Pike County,,
95,Pima County,5711,0.58
88,Pinellas County,6158,0.67
16,Pitkin County,603,3.52
144,Pitt County,130,0.08
153,Pittsylvania County,,
140,Placer County,403,0.12
153,Platte County,,
115,Plymouth County,1821,0.37
153,Pointe Coupee Parish,,
145,Polk County,435,0.07
110,Polk County,1796,0.42
153,Polk County,,
141,Pontotoc County,40,0.11
153,Portage County,,
153,Porter County,,
129,Portsmouth city,224,0.23
153,Pottawatomie County,,
153,Pottawattamie County,,
138,Potter County,165,0.14
153,Powhatan County,,
132,Prince George's County,1764,0.2
147,Prince William County,211,0.05
58,Providence County,7611,1.21
153,Prowers County,,
147,Pueblo County,81,0.05
126,Pulaski County,997,0.26
55,Putnam County,81,1.35
61,Putnam County,1158,1.16
153,Putnam County,,
15,Queens County,87610,3.93
153,Racine County,,
140,Raleigh County,92,0.12
71,Ramsey County,4564,0.9
153,Randall County,,
153,Randolph County,,
153,Rankin County,,
125,Rapides Parish,351,0.27
153,Ravalli County,,
153,Ray County,,
109,Rensselaer County,681,0.43
142,Richland County,130,0.1
108,Richland County,1696,0.44
28,Richmond city,4677,2.29
112,Richmond County,812,0.4
49,Richmond County,6798,1.45
153,Riley County,,
143,Riverside County,1991,0.09
74,Roanoke city,834,0.86
153,Roanoke County,,
153,Robertson County,,
153,Robeson County,,
146,Rock County,97,0.06
153,Rock Island County,,
153,Rockdale County,,
120,Rockingham County,934,0.32
153,Rockingham County,,
2,Rockland County,68696,22.04
153,Rockwall County,,
153,Rogers County,,
153,Ross County,,
153,Routt County,,
153,Rowan County,,
153,Russell County,,
153,Rutherford County,,
128,Rutland County,151,0.24
120,Sacramento County,4574,0.32
153,Sagadahoc County,,
153,Saginaw County,,
153,Salem County,,
153,Saline County,,
153,Saline County,,
144,Salt Lake County,815,0.08
146,San Bernardino County,1186,0.06
99,San Diego County,16793,0.54
44,San Francisco County,12902,1.6
141,San Joaquin County,735,0.11
118,San Luis Obispo County,926,0.34
77,San Mateo County,5846,0.81
153,San Miguel County,,
153,San Patricio County,,
153,Sandusky County,,
130,Sangamon County,432,0.22
101,Santa Barbara County,2212,0.52
87,Santa Clara County,12092,0.68
101,Santa Cruz County,1371,0.52
80,Santa Fe County,1122,0.78
153,Santa Rosa County,,
49,Sarasota County,5485,1.45
112,Saratoga County,875,0.4
153,Sarpy County,,
47,Schenectady County,2352,1.52
153,Schuylkill County,,
148,Scioto County,35,0.04
125,Scott County,454,0.27
153,Scott County,,
153,Scott County,,
147,Sebastian County,65,0.05
153,Sedgwick County,,
129,Seminole County,954,0.23
153,Sequatchie County,,
153,Sevier County,,
153,Seward County,,
145,Shasta County,132,0.07
136,Shawnee County,284,0.16
153,Sheboygan County,,
153,Shelby County,,
147,Shelby County,11,0.05
153,Shelby County,,
153,Shelby County,,
70,Shelby County,8554,0.92
139,Silver Bow County,46,0.13
138,Smith County,286,0.14
147,Snohomish County,381,0.05
151,Solano County,35,0.01
46,Somerset County,4945,1.53
153,Somerset County,,
111,Sonoma County,1980,0.41
153,Spalding County,,
141,Spartanburg County,319,0.11
135,Spokane County,786,0.17
153,Spotsylvania County,,
153,St. Bernard Parish,,
149,St. Charles County,97,0.03
153,St. Charles Parish,,
153,St. Clair County,,
153,St. Clair County,,
153,St. Clair County,,
153,St. John the Baptist Parish,,
103,St. Johns County,945,0.5
96,St. Joseph County,1518,0.57
153,St. Landry Parish,,
153,St. Lawrence County,,
90,St. Louis city,2055,0.64
123,St. Louis County,576,0.29
38,St. Louis County,18245,1.83
153,St. Lucie County,,
153,St. Martin Parish,,
153,St. Mary Parish,,
153,St. Mary's County,,
138,St. Tammany Parish,321,0.14
153,Stafford County,,
145,Stanislaus County,364,0.07
112,Stark County,1513,0.4
105,Staunton city,113,0.48
153,Stephens County,,
150,Steuben County,16,0.02
153,Stokes County,,
133,Story County,173,0.19
128,Strafford County,294,0.24
85,Suffolk County,5026,0.7
54,Suffolk County,20319,1.36
153,Sullivan County,,
10,Sullivan County,4322,5.57
143,Sullivan County,140,0.09
108,Summit County,2410,0.44
36,Summit County,710,1.95
153,Sumner County,,
141,Sumter County,116,0.11
148,Sussex County,60,0.04
146,Sutter County,54,0.06
70,Talbot County,348,0.92
134,Taos County,60,0.18
134,Tarrant County,3201,0.18
148,Taylor County,57,0.04
153,Tazewell County,,
153,Terrebonne Parish,,
125,Thurston County,686,0.27
153,Tioga County,,
127,Tippecanoe County,424,0.25
153,Tipton County,,
150,Tolland County,30,0.02
153,Tom Green County,,
68,Tompkins County,975,0.96
107,Travis County,4610,0.45
153,Troup County,,
144,Trumbull County,170,0.08
147,Tulare County,211,0.05
112,Tulsa County,2405,0.4
153,Tuolumne County,,
143,Tuscaloosa County,178,0.09
82,Ulster County,1371,0.75
153,Union County,,
25,Union County,14025,2.61
153,Union County,,
153,Union County,,
153,Union County,,
153,Van Buren County,,
133,Vanderburgh County,340,0.19
153,Venango County,,
89,Ventura County,5449,0.66
